id,nombreCurso,descripcionCurso,numeroNiveles,categoria,dificultad
1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,3.0,Programación,básico
2,spring boot avanzado,Domina la creación de APIs profesionales,7.0,programacion,Avanzado
3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9.0,Programación,avanzado
4,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,5.0,Programación,básico
8,Spring Boot Avanzado,Domina la creación de APIs profesionales,8.0,,avanzado
9,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9.0,Programacion,avanzado
11,Spring Boot Avanzado,Domina la creación de APIs profesionales,5.0,Programación,intermedio
13,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,1.0,Programación,
14,Spring Boot Avanzado,Domina la creación de APIs profesionales,9.0,Programación,avanzado
15,Arquitectura Microservicios Spring Cloud,Aprende a diseñar sistemas escalables,8.0,Programación,avanzado
16,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,6.0,Programación,INTERMEDIO
17,Spring Boot Avanzado,Domina la creación de APIs profesionales,4.0,Programación,intermedio
19,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,3.0,Programación,básico
20,Spring Boot Avanzado,Domina la creación de APIs profesionales,7.0,Programación,avanzado
21,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9.0,Programación,avanzado
22,Fundamentos Java,Aprende las bases de la programación orientada a objetos,2.0,Programación,básico
23,Spring Boot Avanzado,Domina la creación de APIs profesionales,6.0,Programación,intermedio
24,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,8.0,Programación,avanzado
25,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,5.0,Programación,básico
26,Spring Boot Avanzado,Domina la creación de APIs profesionales,7.0,Programación,avanzado
27,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10.0,Programación,avanzado
28,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,4.0,Programación,básico
29,Spring Boot Avanzado,Domina la creación de APIs profesionales,5.0,Programación,intermedio
30,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9.0,Programación,avanzado
31,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,1.0,Programación,básico
32,Spring Boot Avanzado,Domina la creación de APIs profesionales,8.0,Programación,avanzado
33,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,7.0,Programación,avanzado
34,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,6.0,Programación,intermedio
35,Spring Boot Avanzado,Domina la creación de APIs profesionales,4.0,Programación,intermedio
36,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10.0,Programación,avanzado
37,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,3.0,Programación,básico
38,Spring Boot Avanzado,Domina la creación de APIs profesionales,7.0,Programación,avanzado
39,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9.0,Programación,avanzado
40,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,2.0,Programación,básico
41,Spring Boot Avanzado,Domina la creación de APIs profesionales,6.0,Programación,intermedio
