idUsuarios,id,nombreCurso,descripcionCurso,numeroNiveles,categoria,dificultad
1,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,3,Programación,básico
2,2,spring boot avanzado,Domina la creación de APIs profesionales,7,programacion,Avanzado
3,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado
4,1,Fundamentos de Java ,Aprende las bases de la programación orientada a objetos,5, Programación ,basico
5,2,Spring Boot Avanzado,,6,Programación,intermedio
6,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,15,Programación,avanzado
7,1,Fundamentos de Java,null,2,Programación,básico
8,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,8,,avanzado
9,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programacion,avanzado
10,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,-1,Programación,básico
11,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,5,Programación,medio
12,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,,Programación,avanzado
13,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,1,Programación,
14,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,9,Programación,avanzado
15,3,Arquitectura Microservicios Spring Cloud,Aprende a diseñar sistemas escalables,8,Programación,avanzado
16,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,6,Programación,INTERMEDIO
17,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,4,Programación,intermedio
18,3,Arquitectura de Microservicios con Spring Cloud,null,10,Programación,avanzado
19,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,3,Programación,básico
20,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programación,avanzado
21,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado
22,1,Fundamentos Java,Aprende las bases de la programación orientada a objetos,2,Programación,básico
23,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,6,Programación,intermedio
24,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,8,Programación,avanzado
25,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,5,Programación,básico
26,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programación,avanzado
27,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10,Programación,avanzado
28,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,4,Programación,básico
29,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,5,Programación,intermedio
30,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado
31,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,1,Programación,básico
32,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,8,Programación,avanzado
33,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,7,Programación,avanzado
34,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,6,Programación,intermedio
35,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,4,Programación,intermedio
36,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10,Programación,avanzado
37,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,3,Programación,básico
38,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programación,avanzado
39,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado
40,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,2,Programación,básico
41,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,6,Programación,intermedio
42,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,8,Programación,avanzado
43,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,5,Programación,básico
44,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programación,avanzado
45,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10,Programación,avanzado
46,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,4,Programación,básico
47,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,5,Programación,intermedio
48,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado
49,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,3,Programación,básico
50,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programacion,Avanzado
51,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,,Programación,avanzado
52,1,Fundamentos de Java ,Aprende las bases de la programación orientada a objetos,0, Programación ,basico
53,2,Spring Boot Avanzado,,6,Programación,intermedio 
54,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,11,Programación,avanzado 
55,1,Fundamentos Java,Aprende las bases de la programación orientada a objetos,2,Programación,básico 
56,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,8,,avanzado 
57,3,Arquitectura Microservicios Spring Cloud,Aprende a diseñar sistemas escalables,9,Programacion,avanzado 
58,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,-3,Programación,básico 
59,2,Spring Boot avanzado,Domina la creación de APIs profesionales,5,Programación,medio 
60,3,Arquitectura de Microservicios con Spring Cloud,null,10,Programación,avanzado 
61,1,undamentos de Java,Aprende las bases de la programación orientada a objetos,1,Programación, 
62,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,9,Programación,avanzado 
63,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,8,Programación,AVANZADO 
64,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,6,Programación,INTERMEDIO 
65,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,4,Programación,intermedio 
66,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10,Programación,avanzado 
67,1,Fundamentos de Java,,3,Programación,básico 
68,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programación,avanzado 
69,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado 
70,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,2,Programación,básico 
71,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,6,Programación,intermedio 
72,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,8,Programación,avanzado 
73,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,5,Programación,básico 
74,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programación,avanzado 
75,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10,Programación,avanzado 
76,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,4,Programación,básico 
77,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,5,Programación,intermedio 
78,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado 
79,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,1,Programación,básico 
80,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,8,Programación,avanzado 
81,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,7,Programación,avanzado 
82,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,6,Programación,intermedio 
83,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,4,Programación,intermedio 
84,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10,Programación,avanzado 
85,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,3,Programación,básico 
86,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programación,avanzado 
87,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado 
88,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,2,Programación,básico 
89,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,6,Programación,intermedio 
90,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,8,Programación,avanzado 
91,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,5,Programación,básico 
92,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,7,Programación,avanzado 
93,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,10,Programación,avanzado 
94,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,4,Programación,básico 
95,2,Spring Boot Avanzado,Domina la creación de APIs profesionales,5,Programación,intermedio 
96,3,Arquitectura de Microservicios con Spring Cloud,Aprende a diseñar sistemas escalables,9,Programación,avanzado
97,1,Fundamentos de Java,Aprende las bases de la programación orientada a objetos,,Programación,básico
98,2,spring boot avanzado ,Domina la creación de APIs profesionales,12,programacion,Avanzado
99,3,Arquitectura de Microservicios con Spring Cloud,,-2, Programación ,intermedio
100,1Fundamentos de Java, ,0,Programacion,medio
101,3,Arquitectura de Microservicios con Spring Cloud,,9,Programación,avanzado 
